nome;caracteristicas;ano;data_registro
jeep wrangler unlimited sport;good|6 cylinders|gas|other|4wd|other|silver;2017;2021-05-02
ram 1500;gas|automatic|rwd;2018;2021-05-02
gmc terrain;4 cylinders|gas|manual|rwd|SUV|red;2010;2021-05-02
ford f250 xl;gas|automatic;2014;2021-05-02
chevrolet captiva sport;4 cylinders|gas|automatic|fwd|SUV|grey;2013;2021-05-02
kia forte koup ex coupe 2d;good|gas|other|fwd|coupe;2016;2021-05-02
ford f150 supercrew cab xl;good|6 cylinders|gas|other|pickup;2019;2021-05-02
chevrolet cobalt;4 cylinders|gas|automatic|fwd|sedan|silver;2010;2021-05-02
buick enclave;6 cylinders|gas|automatic|rwd|SUV;2008;2021-05-02
dodge grand caravan;6 cylinders|gas|automatic|fwd|silver;2013;2021-05-02
mercedes-benz m-class;8 cylinders|gas|automatic|SUV|blue;2014;2021-05-02
nissan murano;excellent|6 cylinders|gas|automatic|silver;2011;2021-05-02
nissan rogue sport;gas|automatic|red;2019;2021-05-02
nissan altima;gas|automatic|blue;2020;2021-05-02
infiniti qx30;gas|automatic|fwd|red;2019;2021-05-02
nissan pathfinder;gas|automatic|4wd|white;2018;2021-05-02
subaru legacy 2.5i premium sedan;good|gas|other|sedan|white;2017;2021-05-02
ram 2500;diesel|automatic|white;2011;2021-05-02
gmc terrain;gas|automatic|fwd|silver;2015;2021-05-02
mercedes-benz cls;8 cylinders|gas|automatic|rwd|sedan|grey;2014;2021-05-02
mercedes-benz e-class;4 cylinders|gas|automatic|rwd|sedan|black;2018;2021-05-02
chevrolet corvette;8 cylinders|gas|automatic|rwd|hatchback;1991;2021-05-02
jeep grand cherokee;6 cylinders|gas|automatic|rwd|SUV|blue;1999;2021-05-01
chevrolet cavalier;4 cylinders|gas|automatic|fwd|coupe;2003;2021-05-01
toyota camry;4 cylinders|gas|automatic|fwd|sedan|blue;2005;2021-05-01
ford expedition el;6 cylinders|gas|automatic|rwd|SUV|black;2017;2021-05-01
kia soul;4 cylinders|gas|manual|rwd|wagon|white;2011;2021-05-01
volvo s60;5 cylinders|gas|automatic|fwd|sedan|silver;2009;2021-05-01
jeep grand cherokee;6 cylinders|manual|rwd|SUV|silver;2011;2021-05-01
toyota 4runner limited;6 cylinders|gas|automatic|rwd|SUV|white;2001;2021-05-01
chevrolet traverse;6 cylinders|gas|manual|rwd|SUV|silver;2010;2021-05-01
buick lacrosse;6 cylinders|gas|automatic|fwd|sedan|white;2006;2021-05-01
dodge charger;8 cylinders|gas|automatic|rwd|sedan|black;2010;2021-05-01
toyota tundra crewmax sr5 pickup;good|other|other|pickup|red;2014;2021-05-01
ford mustang gt premium coupe 2d;good|8 cylinders|gas|other|rwd|coupe|white;2020;2021-05-01
honda pilot lx sport utility 4d;good|6 cylinders|gas|other|other|blue;2017;2021-05-01
buick regal sportback preferred;good|gas|other|fwd|sedan|white;2018;2021-05-01
hyundai sonata plug-in hybrid;good|hybrid|manual|fwd|sedan|white;2017;2021-05-01
ford ranger supercrew xl pickup;good|other|other|pickup|black;2019;2021-05-01
nissan pathfinder;6 cylinders|gas|automatic|rwd|SUV|silver;2006;2021-05-01
hyundai elantra touring;4 cylinders|gas|manual|fwd|wagon|grey;2010;2021-05-01
kia forte;4 cylinders|gas|automatic|fwd|sedan|black;2015;2021-05-01
infiniti jx35;6 cylinders|gas|automatic|fwd|SUV|white;2013;2021-05-01
ram 3500;good|6 cylinders|diesel|manual|4wd|truck|silver;2008;2021-05-01
buick lesabre;6 cylinders|gas|automatic|fwd|sedan|green;1997;2021-05-01
gmc yukon xl denali;8 cylinders|gas|automatic|SUV|black;2007;2021-05-01
toyota tacoma 4x4;good|6 cylinders|gas|automatic|4wd|truck|silver;2009;2021-05-01
